DATA_SIZE	MILP_START	MILP_END	MILP_EF1_SCORE	MILP_PRECISION	MILP_RECALL	MILP_F1_SCORE	MILP_EM	PROBABILITIES	CORRUPTED_PROBABILITIES
10	6	8	0.75	0.3333333333333333	1.0	0.5	1	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	[0, 1, 0, 0, 0, 0, 1, 1, 1, 0]
10	8	9	0.6666666666666666	0.0	0.0	0.0	0	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	[0, 1, 0, 1, 0, 0, 0, 0, 1, 1]
10	6	8	0.75	0.3333333333333333	1.0	0.5	1	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 1, 1, 1, 0]
10	1	4	0.7499999999999999	0.25	1.0	0.4	1	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]
10	2	9	0.7692307692307693	0.125	1.0	0.2222222222222222	1	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	[0, 0, 1, 1, 0, 0, 1, 0, 1, 1]
10	1	3	0.5714285714285715	0.3333333333333333	1.0	0.5	1	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]
10	0	8	0.5714285714285715	0.1111111111111111	1.0	0.19999999999999998	1	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]
10	2	4	0.6666666666666666	0.3333333333333333	1.0	0.5	1	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]
10	4	6	0.6666666666666665	0.0	0.0	0.0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 1, 0, 0, 1, 1, 1, 0, 0, 1]
10	0	4	0.6666666666666666	0.2	1.0	0.33333333333333337	1	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]
20	9	16	0.6666666666666667	0.0	0.0	0.0	0	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]
20	13	17	0.5454545454545454	0.0	0.0	0.0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]
20	0	6	0.5333333333333333	0.0	0.0	0.0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]
20	4	4	0.5	0.0	0.0	0.0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	13	16	0.6153846153846154	0.0	0.0	0.0	0	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]
20	9	10	0.5714285714285715	0.0	0.0	0.0	0	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]
20	11	16	0.5	0.16666666666666666	1.0	0.2857142857142857	1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]
20	17	18	0.5	0.0	0.0	0.0	0	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]
