DATA_SIZE	TIME_MILP	TIME_BF	PROBABILITIES	CORRUPTED_PROBABILITIES
10	0.027678966522216797	0.000518798828125	[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]	[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]
10	0.04670095443725586	0.0005099773406982422	[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]
10	0.050665855407714844	0.00043702125549316406	[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]	[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
10	0.07233786582946777	0.0004899501800537109	[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]	[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]
10	0.04971575736999512	0.0005249977111816406	[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
10	0.07992029190063477	0.0004699230194091797	[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]	[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]
10	0.04690098762512207	0.0004730224609375	[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]	[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
10	0.012292146682739258	0.0004210472106933594	[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]
10	0.01425790786743164	0.0002617835998535156	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
10	0.01194310188293457	0.0005357265472412109	[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]	[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]
20	0.03377199172973633	0.0023870468139648438	[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	0.048036813735961914	0.0023980140686035156	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]
20	0.04338574409484863	0.0023331642150878906	[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	0.046053171157836914	0.002309083938598633	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]
20	0.10955190658569336	0.002270936965942383	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	0.05441713333129883	0.002229928970336914	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20	0.07412910461425781	0.0024878978729248047	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]
20	0.04739093780517578	0.002593994140625	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
20	0.03485417366027832	0.002886056900024414	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]
20	0.11012506484985352	0.002434968948364258	[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
30	0.07604527473449707	0.0070040225982666016	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
30	0.15170931816101074	0.006887197494506836	[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
30	0.18761229515075684	0.005621910095214844	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]
